Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR_macro,FPR_macro,Precision_macro,AUC_macro,PR-Curve_macro,Training Time (sec),Inference Time (sec)
abalon,DNDT,1,"{'cut_count': 4, 'cut_size': 1, 'epochs': 67, 'lr': 0.022759736792962726, 'temprature': 0.13607725877174154, 'num_class': 3}",0.555023923,0.553638365,0.22091747,0.574119696,0.502850275,0.386189703,0.9785993,0.0019577
abalon,DNDT,10,"{'cut_count': 4, 'cut_size': 1, 'epochs': 66, 'lr': 0.028572258606210252, 'temprature': 0.7813667743812602, 'num_class': 3}",0.54676259,0.534619242,0.229049212,0.47513735,0.504414159,0.343691166,1.0052056,0.0019233
abalon,DNDT,2,"{'cut_count': 6, 'cut_size': 1, 'epochs': 55, 'lr': 0.027132044663595496, 'temprature': 0.0334888681786992, 'num_class': 3}",0.557416268,0.559786048,0.219441209,0.569197754,0.50691065,0.357140597,1.6986158,0.0034955
abalon,DNDT,3,"{'cut_count': 4, 'cut_size': 1, 'epochs': 62, 'lr': 0.049416460166760816, 'temprature': 0.5918344448324511, 'num_class': 3}",0.40430622,0.397452515,0.300381728,0.361040755,0.500564917,0.356941323,0.7997897,0.0019757
abalon,DNDT,4,"{'cut_count': 4, 'cut_size': 1, 'epochs': 63, 'lr': 0.039859805701317905, 'temprature': 0.3268822292981304, 'num_class': 3}",0.583732057,0.571424072,0.210217781,0.537254153,0.510325029,0.342802116,0.8448083,0.0019271
abalon,DNDT,5,"{'cut_count': 4, 'cut_size': 1, 'epochs': 49, 'lr': 0.02374959595332789, 'temprature': 0.20403261687216642, 'num_class': 3}",0.543062201,0.533739521,0.230298861,0.501334668,0.507492195,0.354770495,0.7980116,0.0019236
abalon,DNDT,6,"{'cut_count': 4, 'cut_size': 1, 'epochs': 56, 'lr': 0.028397774166011944, 'temprature': 0.13053430665324428, 'num_class': 3}",0.543062201,0.536677902,0.22911896,0.512466651,0.502766686,0.362586892,0.7075917,0.0019196
abalon,DNDT,7,"{'cut_count': 6, 'cut_size': 1, 'epochs': 60, 'lr': 0.04935667384320401, 'temprature': 0.10861624828902619, 'num_class': 3}",0.519138756,0.510461499,0.242824826,0.491369643,0.503333622,0.343002813,1.6869242,0.0033934
abalon,DNDT,8,"{'cut_count': 4, 'cut_size': 1, 'epochs': 57, 'lr': 0.011832524473325425, 'temprature': 0.15859084005793042, 'num_class': 3}",0.465227818,0.45696325,0.268727421,0.437951943,0.502225747,0.351308346,0.8925065,0.001912
abalon,DNDT,9,"{'cut_count': 4, 'cut_size': 1, 'epochs': 66, 'lr': 0.029127074669774926, 'temprature': 0.5547732693034689, 'num_class': 3}",0.527577938,0.518366287,0.238200294,0.495555946,0.501903594,0.369121811,0.9950222,0.0018989
abalon,LGBMClassifier,1,"{'learning_rate': 0.10021230023839658, 'max_depth': 5, 'n_estimators': 86, 'reg_lambda': 2.3720547653342763, 'subsample': 0.9988385511330994, 'num_leaves': 37}",0.612440191,0.6025712,0.194425711,0.571517482,0.814452646,0.674241606,0.1295876,0.0033688
abalon,LGBMClassifier,10,"{'learning_rate': 0.41445598051677773, 'max_depth': 2, 'n_estimators': 173, 'reg_lambda': 6.31675039088123, 'subsample': 0.9586130534837071, 'num_leaves': 37}",0.666666667,0.663308618,0.166020821,0.668413555,0.83899286,0.713986651,0.0888432,0.0029849
abalon,LGBMClassifier,2,"{'learning_rate': 0.5976976473917787, 'max_depth': 2, 'n_estimators': 83, 'reg_lambda': 2.7020872469767907, 'subsample': 0.614865605751705, 'num_leaves': 37}",0.679425837,0.674482907,0.160169153,0.662300966,0.851991275,0.733891965,0.0457116,0.0015473
abalon,LGBMClassifier,3,"{'learning_rate': 0.5505118751441781, 'max_depth': 2, 'n_estimators': 54, 'reg_lambda': 1.2470065927231533, 'subsample': 0.7579160559651983, 'num_leaves': 37}",0.619617225,0.618835086,0.18895605,0.629102089,0.806607829,0.693091861,0.0314358,0.0011293
abalon,LGBMClassifier,4,"{'learning_rate': 0.5459984379401228, 'max_depth': 2, 'n_estimators': 92, 'reg_lambda': 3.447794616830641, 'subsample': 0.5252787751546164, 'num_leaves': 37}",0.638755981,0.638077399,0.179318676,0.651211031,0.826847624,0.691411326,0.0508275,0.0016481
abalon,LGBMClassifier,5,"{'learning_rate': 0.4220189437078378, 'max_depth': 2, 'n_estimators': 105, 'reg_lambda': 7.626647004543795, 'subsample': 0.5265313296377827, 'num_leaves': 37}",0.59569378,0.593950393,0.201503158,0.622130064,0.806603475,0.668466102,0.0599178,0.0020767
abalon,LGBMClassifier,6,"{'learning_rate': 0.2473099290700611, 'max_depth': 2, 'n_estimators': 155, 'reg_lambda': 3.6812910102990175, 'subsample': 0.6055863519508932, 'num_leaves': 37}",0.655502392,0.651071645,0.172206526,0.644169254,0.823035822,0.691892986,0.084437,0.002796
abalon,LGBMClassifier,7,"{'learning_rate': 0.20218010796364524, 'max_depth': 4, 'n_estimators': 90, 'reg_lambda': 7.524564818250684, 'subsample': 0.7375003700598941, 'num_leaves': 37}",0.679425837,0.680619653,0.158944308,0.704093808,0.856684564,0.737224145,0.0948803,0.0030493
abalon,LGBMClassifier,8,"{'learning_rate': 0.18778534029688077, 'max_depth': 3, 'n_estimators': 118, 'reg_lambda': 8.405910134342976, 'subsample': 0.9431933227164271, 'num_leaves': 37}",0.621103118,0.616716814,0.188904675,0.614665896,0.807681525,0.681276819,0.0903426,0.0033272
abalon,LGBMClassifier,9,"{'learning_rate': 0.2597236255198837, 'max_depth': 4, 'n_estimators': 96, 'reg_lambda': 8.326320323149597, 'subsample': 0.7273505261106861, 'num_leaves': 37}",0.673860911,0.672455942,0.162163771,0.678407014,0.84364779,0.723978321,0.0929225,0.0033231
abalon,PaloBst,1,"{'learning_rate': 0.38384337958279324, 'max_depth': 5, 'n_estimators': 66, 'subsample': 0.5318775756545298, 'distribution': 'bernoulli'}",0.610047847,0.59859527,0.195793577,0.55065072,0.813851769,0.684166875,0.4949193,1.1864142
abalon,PaloBst,10,"{'learning_rate': 0.18180358931927512, 'max_depth': 7, 'n_estimators': 71, 'subsample': 0.8670140089927841, 'distribution': 'bernoulli'}",0.673860911,0.669062075,0.163060941,0.663611801,0.828317618,0.699397405,0.6242627,0.2723855
